,currency pair,position_limit_for_min_leverage,max_leverage,position_limit_for_max_leverage
200,SFP_USDT,"8,000,000",25x,"5,000"
201,VRA_USDT,NA,NA,NA
202,WAVES_USDT,"5,000,000",50x,"5,000"
203,QNT_USDT,"5,000,000",20x,"5,000"
204,BSV_USDT,"2,000,000",50x,"5,000"
205,ACH_USDT,"5,000,000",20x,"5,000"
206,ARPA_USDT,"10,000,000",20x,"5,000"
207,NEO_USDT,"20,000,000",50x,"5,000"
208,HFT_USDT,"5,000,000",20x,"5,000"
209,EDU_USDT,"5,000,000",50x,"5,000"
210,LRC_USDT,"5,000,000",50x,"5,000"
211,AGLD_USDT,"5,000,000",50x,"5,000"
212,AUDIO_USDT,"3,000,000",20x,"5,000"
213,TOKEN_USDT,"2,000,000",50x,"5,000"
214,ORBS_USDT,"2,000,000",50x,"5,000"
215,KLAY_USDT,"10,000,000",50x,"5,000"
216,SPELL_USDT,"3,000,000",20x,"5,000"
217,GAL_USDT,"3,000,000",20x,"5,000"
218,WSM_USDT,NA,NA,NA
219,FORTH_USDT,NA,NA,NA
220,DASH_USDT,"5,000,000",50x,"5,000"
221,IOTX_USDT,"5,000,000",20x,"5,000"
222,ZEN_USDT,"3,000,000",50x,"5,000"
223,FLOW_USDT,"5,000,000",20x,"5,000"
224,REEF_USDT,"3,000,000",20x,"5,000"
225,RARE_USDT,NA,NA,NA
226,BAND_USDT,"5,000,000",50x,"5,000"
227,1000000VINU_USDT,NA,NA,NA
228,NMR_USDT,"5,000,000",20x,"5,000"
229,SXP_USDT,"6,500,000",25x,"5,000"
230,ONE_USDT,"5,000,000",20x,"5,000"
231,OMG_USDT,"15,000,000",50x,"5,000"
232,CEEK_USDT,NA,NA,NA
233,CVX_USDT,"5,000,000",20x,"25,000"
234,ETHW_USDT,"2,000,000",50x,"5,000"
235,LIT_USDT,"5,000,000",20x,"25,000"
236,ALPHA_USDT,"5,000,000",50x,"5,000"
237,CRO_USDT,NA,NA,NA
238,LPT_USDT,"3,000,000",50x,"5,000"
239,ALICE_USDT,"3,000,000",20x,"5,000"
240,BEL_USDT,"3,000,000",20x,"5,000"
241,HOT_USDT,"5,000,000",25x,"5,000"
242,BAL_USDT,"5,000,000",25x,"5,000"
243,JOE_USDT,"5,000,000",20x,"5,000"
244,AR_USDT,NA,NA,NA
245,LOOKS_USDT,NA,NA,NA
246,XVS_USDT,"5,000,000",20x,"5,000"
247,RSR_USDT,"5,000,000",25x,"5,000"
248,AKRO_USDT,NA,NA,NA
249,CELR_USDT,"10,000,000",25x,"5,000"
250,RVN_USDT,"5,000,000",50x,"5,000"
251,SCRT_USDT,NA,NA,NA
252,XVG_USDT,"5,000,000",20x,"25,000"
253,QTUM_USDT,"5,000,000",50x,"5,000"
254,T_USDT,NA,NA,NA
255,HIFI_USDT,"3,500,000",50x,"5,000"
256,GLMR_USDT,"3,500,000",20x,"10,000"
257,OGN_USDT,"3,000,000",20x,"5,000"
258,BICO_USDT,"3,500,000",20x,"10,000"
259,BAT_USDT,"5,000,000",50x,"5,000"
260,HIGH_USDT,"10,000,000",25x,"5,000"
261,RIF_USDT,"2,000,000",50x,"5,000"
262,CKB_USDT,"5,000,000",20x,"5,000"
263,PAXG_USDT,NA,NA,NA
264,FLM_USDT,"3,000,000",50x,"5,000"
265,TLM_USDT,"5,000,000",20x,"5,000"
266,XTZ_USDT,"15,000,000",50x,"10,000"
267,FITFI_USDT,NA,NA,NA
268,CORE_USDT,NA,NA,NA
269,AGI_USDT,NA,NA,NA
270,DATA_USDT,NA,NA,NA
271,SLP_USDT,"2,000,000",50x,"5,000"
272,CTK_USDT,"3,000,000",20x,"5,000"
273,COTI_USDT,"5,000,000",25x,"5,000"
274,CSPR_USDT,NA,NA,NA
275,FLR_USDT,NA,NA,NA
276,QI_USDT,NA,NA,NA
277,IDEX_USDT,"5,000,000",20x,"5,000"
278,REN_USDT,"10,000,000",50x,"5,000"
279,KNC_USDT,"5,000,000",50x,"5,000"
280,1000BTT_USDT,NA,NA,NA
281,XCN_USDT,NA,NA,NA
282,BADGER_USDT,"2,000,000",50x,"5,000"
283,BNXNEW_USDT,NA,NA,NA
284,COMBO_USDT,"5,000,000",20x,"5,000"
285,ANT_USDT,"3,000,000",50x,"5,000"
286,XNO_USDT,NA,NA,NA
287,OXT_USDT,"5,000,000",20x,"5,000"
288,CEL_USDT,NA,NA,NA
289,MDT_USDT,"5,000,000",20x,"5,000"
290,KEY_USDT,"5,000,000",20x,"5,000"
291,STEEM_USDT,"2,000,000",50x,"5,000"
292,DODO_USDT,NA,NA,NA
293,BSW_USDT,NA,NA,NA
294,TRU_USDT,"5,000,000",20x,"5,000"
295,FUN_USDT,NA,NA,NA
296,STMX_USDT,"3,000,000",20x,"5,000"
297,BOBA_USDT,NA,NA,NA
298,POLYX_USDT,"2,000,000",50x,"5,000"
